timestamp,demanda_real_mw,demanda_predicha_mw,error_abs_mw,error_pct
2026-01-08 00:00:00,26908.09,26399.57,508.52,1.89
2026-01-08 01:00:00,25564.19,25328.06,236.13,0.924
2026-01-08 02:00:00,25070.34,24610.15,460.19,1.836
2026-01-08 03:00:00,24999.14,24896.43,102.72,0.411
2026-01-08 04:00:00,25693.91,26595.4,901.48,3.509
2026-01-08 05:00:00,29095.25,30317.18,1221.94,4.2
2026-01-08 06:00:00,34302.44,33570.29,732.15,2.134
2026-01-08 07:00:00,37527.91,35747.23,1780.68,4.745
2026-01-08 08:00:00,38107.99,37202.29,905.7,2.377
2026-01-08 09:00:00,37880.6,37367.69,512.91,1.354
2026-01-08 10:00:00,37008.79,36980.42,28.37,0.077
2026-01-08 11:00:00,36496.06,36790.35,294.29,0.806
2026-01-08 12:00:00,36464.11,36229.42,234.69,0.644
2026-01-08 13:00:00,36471.16,35762.35,708.81,1.943
2026-01-08 14:00:00,36465.64,35475.05,990.59,2.717
2026-01-08 15:00:00,36625.0,35867.15,757.85,2.069
2026-01-08 16:00:00,37430.71,36712.1,718.61,1.92
2026-01-08 17:00:00,39313.9,37868.69,1445.21,3.676
2026-01-08 18:00:00,40362.8,38710.4,1652.4,4.094
2026-01-08 19:00:00,41083.99,38738.26,2345.73,5.71
2026-01-08 20:00:00,39655.58,37436.98,2218.6,5.595
2026-01-08 21:00:00,35808.38,34225.27,1583.11,4.421
2026-01-08 22:00:00,31612.13,31626.15,14.02,0.044
2026-01-08 23:00:00,28782.52,29517.53,735.01,2.554
2026-01-09 00:00:00,26719.97,27804.28,1084.31,4.058
2026-01-09 01:00:00,25314.51,26725.52,1411.01,5.574
2026-01-09 02:00:00,24708.53,26215.02,1506.49,6.097
2026-01-09 03:00:00,24555.23,26355.98,1800.76,7.334
2026-01-09 04:00:00,25438.78,27404.62,1965.84,7.728
2026-01-09 05:00:00,28815.91,30228.19,1412.28,4.901
2026-01-09 06:00:00,33940.41,33297.1,643.31,1.895
2026-01-09 07:00:00,36896.82,35296.39,1600.43,4.338
2026-01-09 08:00:00,37594.35,36464.35,1130.0,3.006
2026-01-09 09:00:00,37090.2,36595.06,495.14,1.335
2026-01-09 10:00:00,35998.03,35980.58,17.45,0.048
2026-01-09 11:00:00,35454.42,35491.85,37.43,0.106
2026-01-09 12:00:00,35205.13,35029.98,175.16,0.498
2026-01-09 13:00:00,34971.55,34630.45,341.1,0.975
2026-01-09 14:00:00,34592.77,34274.45,318.32,0.92
2026-01-09 15:00:00,34775.41,34116.79,658.62,1.894
2026-01-09 16:00:00,35451.7,34553.18,898.52,2.534
2026-01-09 17:00:00,37229.87,35547.64,1682.22,4.518
2026-01-09 18:00:00,38052.29,36431.97,1620.32,4.258
2026-01-09 19:00:00,38176.04,36622.41,1553.63,4.07
2026-01-09 20:00:00,37303.66,35606.36,1697.31,4.55
2026-01-09 21:00:00,34145.11,32991.26,1153.86,3.379
2026-01-09 22:00:00,31042.22,30436.32,605.9,1.952
2026-01-09 23:00:00,28748.62,28113.44,635.18,2.209
2026-01-10 00:00:00,26538.68,26525.58,13.1,0.049
2026-01-10 01:00:00,24935.45,25307.9,372.46,1.494
2026-01-10 02:00:00,23924.29,24457.02,532.73,2.227
2026-01-10 03:00:00,23424.71,24082.78,658.07,2.809
2026-01-10 04:00:00,23341.84,24405.17,1063.33,4.555
2026-01-10 05:00:00,24136.8,25586.25,1449.45,6.005
2026-01-10 06:00:00,25697.82,27570.79,1872.97,7.288
2026-01-10 07:00:00,27521.01,29570.09,2049.08,7.446
2026-01-10 08:00:00,29397.58,30878.71,1481.12,5.038
2026-01-10 09:00:00,30120.33,31031.11,910.78,3.024
2026-01-10 10:00:00,29814.02,30559.56,745.54,2.501
2026-01-10 11:00:00,29150.08,30388.62,1238.55,4.249
2026-01-10 12:00:00,29387.04,30312.26,925.22,3.148
2026-01-10 13:00:00,29529.05,29910.33,381.28,1.291
2026-01-10 14:00:00,28966.53,29786.51,819.97,2.831
2026-01-10 15:00:00,29089.88,29749.04,659.15,2.266
2026-01-10 16:00:00,30081.57,30000.43,81.15,0.27
2026-01-10 17:00:00,32246.42,31176.04,1070.38,3.319
2026-01-10 18:00:00,33247.98,32839.04,408.95,1.23
2026-01-10 19:00:00,33886.1,33437.53,448.57,1.324
2026-01-10 20:00:00,33825.62,32531.51,1294.11,3.826
2026-01-10 21:00:00,31578.86,30800.66,778.2,2.464
2026-01-10 22:00:00,29174.53,28686.85,487.68,1.672
2026-01-10 23:00:00,26700.41,26416.68,283.73,1.063
2026-01-11 00:00:00,24568.02,24604.78,36.76,0.15
2026-01-11 01:00:00,22971.81,22961.78,10.04,0.044
2026-01-11 02:00:00,22073.71,21626.97,446.73,2.024
2026-01-11 03:00:00,21668.77,20792.27,876.5,4.045
2026-01-11 04:00:00,21673.95,20890.41,783.55,3.615
2026-01-11 05:00:00,22267.68,22719.57,451.89,2.029
2026-01-11 06:00:00,23206.13,25728.48,2522.35,10.869
2026-01-11 07:00:00,24529.17,28477.99,3948.82,16.098
2026-01-11 08:00:00,26211.01,29320.22,3109.21,11.862
2026-01-11 09:00:00,27487.75,29464.07,1976.32,7.19
2026-01-11 10:00:00,27576.43,29567.18,1990.75,7.219
2026-01-11 11:00:00,27287.15,29963.34,2676.19,9.808
2026-01-11 12:00:00,27611.44,29881.38,2269.94,8.221
2026-01-11 13:00:00,28023.74,29666.81,1643.07,5.863
2026-01-11 14:00:00,27583.67,29480.74,1897.07,6.878
2026-01-11 15:00:00,27607.2,29819.2,2212.01,8.012
2026-01-11 16:00:00,28724.49,30506.16,1781.67,6.203
2026-01-11 17:00:00,31618.95,32285.33,666.38,2.108
2026-01-11 18:00:00,33571.86,34338.32,766.45,2.283
2026-01-11 19:00:00,34480.52,34895.64,415.11,1.204
2026-01-11 20:00:00,33927.25,33280.8,646.45,1.905
2026-01-11 21:00:00,31670.84,30639.85,1030.99,3.255
2026-01-11 22:00:00,28541.16,28181.03,360.13,1.262
2026-01-11 23:00:00,25738.15,26017.55,279.4,1.086
2026-01-12 00:00:00,23876.02,24599.74,723.73,3.031
2026-01-12 01:00:00,22862.25,23709.54,847.29,3.706
2026-01-12 02:00:00,22411.55,22984.39,572.84,2.556
2026-01-12 03:00:00,22430.04,23188.37,758.33,3.381
2026-01-12 04:00:00,23526.75,24624.27,1097.52,4.665
2026-01-12 05:00:00,27596.28,27889.11,292.83,1.061
2026-01-12 06:00:00,33291.71,31864.92,1426.8,4.286
2026-01-12 07:00:00,36540.27,34931.2,1609.07,4.404
2026-01-12 08:00:00,36913.56,36229.88,683.69,1.852
2026-01-12 09:00:00,36320.65,35674.02,646.63,1.78
2026-01-12 10:00:00,35322.77,35144.23,178.54,0.505
2026-01-12 11:00:00,34817.77,35006.69,188.92,0.543
2026-01-12 12:00:00,34758.85,34670.83,88.02,0.253
2026-01-12 13:00:00,34598.43,34507.63,90.79,0.262
2026-01-12 14:00:00,34339.73,34048.81,290.92,0.847
2026-01-12 15:00:00,34268.16,34198.32,69.84,0.204
2026-01-12 16:00:00,35374.47,34989.6,384.88,1.088
2026-01-12 17:00:00,37459.36,36868.46,590.91,1.577
2026-01-12 18:00:00,38790.87,37781.22,1009.65,2.603
2026-01-12 19:00:00,39628.09,37502.46,2125.63,5.364
2026-01-12 20:00:00,38501.9,35503.49,2998.41,7.788
2026-01-12 21:00:00,34651.36,32416.98,2234.38,6.448
2026-01-12 22:00:00,30655.88,29725.24,930.64,3.036
2026-01-12 23:00:00,27902.76,27356.69,546.07,1.957
2026-01-13 00:00:00,25800.56,25640.66,159.9,0.62
2026-01-13 01:00:00,24590.5,24601.71,11.21,0.046
2026-01-13 02:00:00,24143.51,23886.29,257.22,1.065
2026-01-13 03:00:00,24109.15,24212.75,103.6,0.43
2026-01-13 04:00:00,24933.42,25888.67,955.26,3.831
2026-01-13 05:00:00,28559.77,29624.95,1065.18,3.73
2026-01-13 06:00:00,33697.28,33031.8,665.48,1.975
2026-01-13 07:00:00,36704.36,35397.64,1306.71,3.56
2026-01-13 08:00:00,36942.68,36319.68,623.0,1.686
2026-01-13 09:00:00,36658.7,35495.35,1163.35,3.173
2026-01-13 10:00:00,36505.81,35203.48,1302.33,3.567
2026-01-13 11:00:00,36013.38,35250.65,762.73,2.118
2026-01-13 12:00:00,36052.93,35099.0,953.94,2.646
2026-01-13 13:00:00,36025.93,35000.22,1025.71,2.847
2026-01-13 14:00:00,35845.14,34611.0,1234.14,3.443
2026-01-13 15:00:00,35949.16,34619.54,1329.62,3.699
2026-01-13 16:00:00,36427.89,35166.67,1261.22,3.462
2026-01-13 17:00:00,38045.73,36798.66,1247.08,3.278
2026-01-13 18:00:00,39332.24,37700.61,1631.64,4.148
2026-01-13 19:00:00,40154.28,37586.39,2567.89,6.395
2026-01-13 20:00:00,38965.65,35956.01,3009.64,7.724
2026-01-13 21:00:00,34997.39,32834.1,2163.29,6.181
2026-01-13 22:00:00,31089.62,30093.46,996.16,3.204
2026-01-13 23:00:00,27621.16,27705.8,84.63,0.306
2026-01-14 00:00:00,25708.7,25964.95,256.25,0.997
2026-01-14 01:00:00,24557.63,24835.88,278.25,1.133
2026-01-14 02:00:00,24063.55,24003.88,59.67,0.248
2026-01-14 03:00:00,24034.21,24201.31,167.1,0.695
2026-01-14 04:00:00,24816.43,25797.71,981.28,3.954
2026-01-14 05:00:00,28141.87,29525.39,1383.52,4.916
2026-01-14 06:00:00,33080.3,32980.51,99.8,0.302
2026-01-14 07:00:00,36052.01,35379.23,672.78,1.866
2026-01-14 08:00:00,36514.56,36396.73,117.83,0.323
2026-01-14 09:00:00,36181.19,35646.61,534.59,1.478
2026-01-14 10:00:00,35068.3,35189.26,120.95,0.345
2026-01-14 11:00:00,34269.54,35011.84,742.3,2.166
2026-01-14 12:00:00,34227.27,34521.36,294.09,0.859
2026-01-14 13:00:00,34041.26,34206.37,165.11,0.485
2026-01-14 14:00:00,33919.28,33527.7,391.58,1.154
2026-01-14 15:00:00,34105.21,33485.93,619.28,1.816
2026-01-14 16:00:00,34728.02,34162.05,565.97,1.63
2026-01-14 17:00:00,36593.44,36000.8,592.64,1.62
2026-01-14 18:00:00,38073.32,36933.79,1139.53,2.993
2026-01-14 19:00:00,39071.25,36904.46,2166.79,5.546
2026-01-14 20:00:00,37865.52,35501.05,2364.46,6.244
2026-01-14 21:00:00,34387.6,32243.57,2144.03,6.235
2026-01-14 22:00:00,30797.0,29577.96,1219.04,3.958
2026-01-14 23:00:00,28063.57,27363.79,699.78,2.494
2026-01-15 00:00:00,26146.22,25941.65,204.57,0.782
2026-01-15 01:00:00,24839.58,24930.03,90.45,0.364
2026-01-15 02:00:00,24357.83,24112.74,245.09,1.006
2026-01-15 03:00:00,24307.96,24299.41,8.54,0.035
2026-01-15 04:00:00,25179.7,25931.14,751.44,2.984
2026-01-15 05:00:00,28567.41,29450.13,882.72,3.09
2026-01-15 06:00:00,33745.34,32854.39,890.95,2.64
2026-01-15 07:00:00,36643.83,35244.83,1399.0,3.818
2026-01-15 08:00:00,36728.74,36660.88,67.86,0.185
2026-01-15 09:00:00,35997.75,36655.14,657.39,1.826
2026-01-15 10:00:00,34870.11,36138.14,1268.04,3.636
2026-01-15 11:00:00,34645.55,35818.25,1172.7,3.385
2026-01-15 12:00:00,34847.74,35177.81,330.07,0.947
2026-01-15 13:00:00,35059.15,34723.23,335.92,0.958
2026-01-15 14:00:00,34996.87,34460.43,536.45,1.533
2026-01-15 15:00:00,35287.7,34825.21,462.49,1.311
2026-01-15 16:00:00,36070.04,35710.09,359.95,0.998
2026-01-15 17:00:00,37664.39,37122.6,541.79,1.438
2026-01-15 18:00:00,38846.71,38043.01,803.7,2.069
2026-01-15 19:00:00,39540.64,38093.23,1447.4,3.661
2026-01-15 20:00:00,38192.71,36880.34,1312.37,3.436
2026-01-15 21:00:00,34500.77,33656.38,844.39,2.447
2026-01-15 22:00:00,30740.8,31019.44,278.63,0.906
2026-01-15 23:00:00,28221.39,28930.93,709.54,2.514
2026-01-16 00:00:00,26320.16,27352.49,1032.33,3.922
2026-01-16 01:00:00,25042.23,26379.76,1337.53,5.341
2026-01-16 02:00:00,24514.06,25898.94,1384.88,5.649
2026-01-16 03:00:00,24327.66,26059.46,1731.8,7.119
2026-01-16 04:00:00,25087.54,27141.64,2054.1,8.188
2026-01-16 05:00:00,28212.41,29891.59,1679.18,5.952
2026-01-16 06:00:00,33116.44,32870.37,246.07,0.743
2026-01-16 07:00:00,35917.91,34765.75,1152.16,3.208
2026-01-16 08:00:00,36400.73,35816.17,584.56,1.606
2026-01-16 09:00:00,36332.52,35825.46,507.06,1.396
2026-01-16 10:00:00,35626.33,35146.05,480.28,1.348
2026-01-16 11:00:00,35271.31,34658.45,612.86,1.738
2026-01-16 12:00:00,35205.67,34245.42,960.25,2.728
2026-01-16 13:00:00,34761.64,33906.96,854.67,2.459
2026-01-16 14:00:00,34263.79,33582.55,681.23,1.988
2026-01-16 15:00:00,34326.92,33419.97,906.95,2.642
2026-01-16 16:00:00,34873.68,33825.95,1047.73,3.004
2026-01-16 17:00:00,36386.86,34821.0,1565.86,4.303
2026-01-16 18:00:00,37236.21,35785.98,1450.23,3.895
2026-01-16 19:00:00,37463.7,36041.36,1422.34,3.797
2026-01-16 20:00:00,36305.29,35045.57,1259.71,3.47
2026-01-16 21:00:00,33402.5,32434.33,968.18,2.899
2026-01-16 22:00:00,30349.55,29916.75,432.8,1.426
2026-01-16 23:00:00,28129.13,27585.0,544.13,1.934
2026-01-17 00:00:00,26022.86,25919.16,103.7,0.398
2026-01-17 01:00:00,24542.78,24614.33,71.55,0.292
2026-01-17 02:00:00,23550.12,23688.3,138.18,0.587
2026-01-17 03:00:00,23094.21,23269.7,175.48,0.76
2026-01-17 04:00:00,23016.35,23596.46,580.12,2.52
2026-01-17 05:00:00,23881.96,24859.02,977.06,4.091
2026-01-17 06:00:00,25429.19,26916.65,1487.46,5.849
2026-01-17 07:00:00,27307.6,28934.75,1627.14,5.959
2026-01-17 08:00:00,29726.77,30250.45,523.67,1.762
2026-01-17 09:00:00,31521.97,30497.99,1023.98,3.248
2026-01-17 10:00:00,31862.78,30268.68,1594.09,5.003
2026-01-17 11:00:00,31816.75,30419.74,1397.01,4.391
2026-01-17 12:00:00,32272.16,30765.97,1506.18,4.667
2026-01-17 13:00:00,32025.77,30778.75,1247.02,3.894
2026-01-17 14:00:00,30992.09,30961.41,30.68,0.099
2026-01-17 15:00:00,30140.2,31141.73,1001.54,3.323
2026-01-17 16:00:00,30297.96,31409.54,1111.58,3.669
2026-01-17 17:00:00,31962.07,32260.31,298.24,0.933
2026-01-17 18:00:00,32845.98,33536.77,690.79,2.103
2026-01-17 19:00:00,33387.89,34003.61,615.72,1.844
2026-01-17 20:00:00,33144.24,33179.12,34.89,0.105
2026-01-17 21:00:00,30994.69,31310.12,315.44,1.018
2026-01-17 22:00:00,28641.6,29009.47,367.88,1.284
2026-01-17 23:00:00,26197.71,26408.36,210.66,0.804
2026-01-18 00:00:00,24185.82,24298.91,113.09,0.468
2026-01-18 01:00:00,22808.88,22480.04,328.85,1.442
2026-01-18 02:00:00,21952.65,21078.88,873.77,3.98
2026-01-18 03:00:00,21548.03,20183.97,1364.06,6.33
2026-01-18 04:00:00,21584.69,19981.38,1603.31,7.428
2026-01-18 05:00:00,22115.39,21440.01,675.38,3.054
2026-01-18 06:00:00,23080.45,24238.1,1157.65,5.016
2026-01-18 07:00:00,24339.27,26998.43,2659.16,10.925
2026-01-18 08:00:00,26262.75,28167.18,1904.43,7.251
2026-01-18 09:00:00,27799.05,28574.86,775.81,2.791
2026-01-18 10:00:00,28375.91,28850.71,474.81,1.673
2026-01-18 11:00:00,28550.46,29431.56,881.09,3.086
2026-01-18 12:00:00,29468.91,29582.42,113.51,0.385
2026-01-18 13:00:00,29553.65,29669.17,115.52,0.391
2026-01-18 14:00:00,28442.56,29758.4,1315.84,4.626
2026-01-18 15:00:00,28084.66,30226.16,2141.5,7.625
2026-01-18 16:00:00,28704.0,30866.31,2162.31,7.533
2026-01-18 17:00:00,31083.52,32422.86,1339.34,4.309
2026-01-18 18:00:00,32900.83,34284.29,1383.46,4.205
2026-01-18 19:00:00,34009.74,34787.09,777.35,2.286
2026-01-18 20:00:00,33672.49,33267.57,404.93,1.203
2026-01-18 21:00:00,31430.75,30696.95,733.8,2.335
2026-01-18 22:00:00,28512.94,28182.42,330.51,1.159
2026-01-18 23:00:00,25937.87,25968.2,30.32,0.117
2026-01-19 00:00:00,24039.27,24506.59,467.32,1.944
2026-01-19 01:00:00,22994.38,23602.61,608.23,2.645
2026-01-19 02:00:00,22446.37,22897.9,451.53,2.012
2026-01-19 03:00:00,22554.12,23088.93,534.82,2.371
2026-01-19 04:00:00,23625.6,24512.21,886.61,3.753
2026-01-19 05:00:00,27317.89,27748.54,430.65,1.576
2026-01-19 06:00:00,32972.87,31753.34,1219.53,3.699
2026-01-19 07:00:00,36141.73,34842.13,1299.6,3.596
2026-01-19 08:00:00,36817.84,36175.06,642.78,1.746
2026-01-19 09:00:00,36818.96,35617.73,1201.22,3.263
2026-01-19 10:00:00,36143.53,35129.82,1013.71,2.805
2026-01-19 11:00:00,35766.19,35077.63,688.55,1.925
2026-01-19 12:00:00,35719.08,34851.83,867.25,2.428
2026-01-19 13:00:00,35650.88,34786.73,864.14,2.424
2026-01-19 14:00:00,35405.59,34391.09,1014.51,2.865
2026-01-19 15:00:00,35294.93,34546.93,748.0,2.119
2026-01-19 16:00:00,35686.98,35350.02,336.96,0.944
2026-01-19 17:00:00,37305.52,37062.86,242.66,0.65
2026-01-19 18:00:00,38768.23,37861.94,906.29,2.338
2026-01-19 19:00:00,39573.05,37524.5,2048.55,5.177
2026-01-19 20:00:00,38508.17,35472.2,3035.98,7.884
2026-01-19 21:00:00,34747.48,32407.02,2340.46,6.736
2026-01-19 22:00:00,31000.24,29731.01,1269.23,4.094
2026-01-19 23:00:00,28249.9,27405.55,844.35,2.989
2026-01-20 00:00:00,26347.98,25719.1,628.88,2.387
2026-01-20 01:00:00,25108.58,24708.82,399.75,1.592
2026-01-20 02:00:00,24604.66,24000.65,604.01,2.455
2026-01-20 03:00:00,24604.44,24282.27,322.17,1.309
2026-01-20 04:00:00,25425.61,25872.04,446.42,1.756
2026-01-20 05:00:00,28869.84,29521.12,651.28,2.256
2026-01-20 06:00:00,34010.93,33015.02,995.91,2.928
2026-01-20 07:00:00,36911.11,35512.14,1398.97,3.79
2026-01-20 08:00:00,37385.04,36538.19,846.84,2.265
2026-01-20 09:00:00,37117.34,35776.83,1340.52,3.612
2026-01-20 10:00:00,36554.82,35391.29,1163.53,3.183
2026-01-20 11:00:00,35935.74,35334.32,601.41,1.674
2026-01-20 12:00:00,35952.54,35113.23,839.3,2.334
2026-01-20 13:00:00,35858.37,34979.91,878.45,2.45
2026-01-20 14:00:00,35478.43,34590.23,888.21,2.504
2026-01-20 15:00:00,35527.87,34612.33,915.54,2.577
2026-01-20 16:00:00,36176.74,35254.11,922.64,2.55
2026-01-20 17:00:00,37923.75,36930.58,993.17,2.619
2026-01-20 18:00:00,39437.14,37732.34,1704.8,4.323
2026-01-20 19:00:00,40292.35,37566.23,2726.12,6.766
2026-01-20 20:00:00,38959.49,35911.31,3048.18,7.824
2026-01-20 21:00:00,35181.8,32785.3,2396.49,6.812
2026-01-20 22:00:00,31309.36,30100.37,1208.98,3.861
2026-01-20 23:00:00,28572.69,27763.05,809.64,2.834
2026-01-21 00:00:00,26481.43,26083.42,398.01,1.503
2026-01-21 01:00:00,25107.43,24984.78,122.66,0.489
2026-01-21 02:00:00,24616.82,24173.61,443.22,1.8
2026-01-21 03:00:00,24414.29,24358.03,56.26,0.23
2026-01-21 04:00:00,25304.31,25914.04,609.72,2.41
2026-01-21 05:00:00,28787.63,29610.7,823.07,2.859
2026-01-21 06:00:00,33751.84,33109.5,642.34,1.903
2026-01-21 07:00:00,36728.2,35582.47,1145.72,3.119
2026-01-21 08:00:00,37237.99,36706.46,531.54,1.427
2026-01-21 09:00:00,37238.93,36024.05,1214.88,3.262
2026-01-21 10:00:00,36930.25,35546.73,1383.52,3.746
2026-01-21 11:00:00,36989.6,35422.55,1567.05,4.236
2026-01-21 12:00:00,37509.09,35156.54,2352.55,6.272
2026-01-21 13:00:00,37517.84,35117.1,2400.74,6.399
2026-01-21 14:00:00,37130.24,34773.11,2357.13,6.348
2026-01-21 15:00:00,36982.58,34921.43,2061.15,5.573
2026-01-21 16:00:00,37352.69,35716.19,1636.5,4.381
2026-01-21 17:00:00,38552.62,37272.84,1279.79,3.32
2026-01-21 18:00:00,39570.3,37888.56,1681.74,4.25
2026-01-21 19:00:00,40050.37,37546.23,2504.14,6.252
2026-01-21 20:00:00,38461.61,35672.88,2788.73,7.251
2026-01-21 21:00:00,34651.29,32441.16,2210.13,6.378
2026-01-21 22:00:00,30712.23,29819.99,892.24,2.905
2026-01-21 23:00:00,28134.47,27595.41,539.06,1.916
2026-01-22 00:00:00,26259.87,26080.96,178.91,0.681
2026-01-22 01:00:00,24896.03,25050.33,154.3,0.62
2026-01-22 02:00:00,24220.15,24430.34,210.19,0.868
2026-01-22 03:00:00,24200.79,24904.08,703.29,2.906
2026-01-22 04:00:00,24888.58,26952.17,2063.6,8.291
2026-01-22 05:00:00,28182.78,30756.8,2574.03,9.133
2026-01-22 06:00:00,33277.52,33673.87,396.36,1.191
2026-01-22 07:00:00,36097.87,35595.2,502.68,1.393
2026-01-22 08:00:00,36448.73,36991.93,543.2,1.49
2026-01-22 09:00:00,35703.72,36856.1,1152.38,3.228
2026-01-22 10:00:00,34752.21,36176.77,1424.57,4.099
2026-01-22 11:00:00,34371.15,35765.46,1394.31,4.057
2026-01-22 12:00:00,34329.02,35097.67,768.65,2.239
2026-01-22 13:00:00,34614.48,34633.31,18.84,0.054
2026-01-22 14:00:00,34920.72,34281.71,639.01,1.83
2026-01-22 15:00:00,35254.16,34608.41,645.75,1.832
2026-01-22 16:00:00,35998.42,35480.46,517.96,1.439
2026-01-22 17:00:00,37567.52,36894.08,673.44,1.793
2026-01-22 18:00:00,38652.45,37846.19,806.27,2.086
2026-01-22 19:00:00,39447.14,37918.8,1528.34,3.874
2026-01-22 20:00:00,38254.38,36780.15,1474.23,3.854
2026-01-22 21:00:00,34453.22,33591.82,861.41,2.5
2026-01-22 22:00:00,30665.36,30891.55,226.19,0.738
2026-01-22 23:00:00,28598.9,28797.38,198.48,0.694
2026-01-23 00:00:00,26631.83,27307.14,675.31,2.536
2026-01-23 01:00:00,25207.32,26374.46,1167.14,4.63
2026-01-23 02:00:00,24593.88,25875.88,1282.01,5.213
2026-01-23 03:00:00,24453.33,25967.02,1513.69,6.19
2026-01-23 04:00:00,25207.2,26950.89,1743.69,6.917
2026-01-23 05:00:00,28659.78,29470.8,811.03,2.83
2026-01-23 06:00:00,33498.64,32664.7,833.94,2.489
2026-01-23 07:00:00,36218.67,34791.57,1427.1,3.94
2026-01-23 08:00:00,36352.62,35962.41,390.21,1.073
2026-01-23 09:00:00,35389.79,36058.87,669.08,1.891
2026-01-23 10:00:00,34267.06,35234.74,967.68,2.824
2026-01-23 11:00:00,33685.45,34545.89,860.45,2.554
2026-01-23 12:00:00,33771.91,33945.74,173.82,0.515
2026-01-23 13:00:00,33559.68,33479.52,80.16,0.239
2026-01-23 14:00:00,33432.31,33073.2,359.11,1.074
2026-01-23 15:00:00,33989.89,32885.34,1104.56,3.25
2026-01-23 16:00:00,35035.93,33372.93,1663.01,4.747
2026-01-23 17:00:00,36419.81,34591.33,1828.48,5.021
2026-01-23 18:00:00,37224.52,35735.64,1488.89,4.0
2026-01-23 19:00:00,37537.64,36055.76,1481.89,3.948
2026-01-23 20:00:00,36489.3,35038.62,1450.68,3.976
2026-01-23 21:00:00,33500.96,32402.95,1098.02,3.278
2026-01-23 22:00:00,30690.68,29905.51,785.17,2.558
2026-01-23 23:00:00,28480.82,27632.82,848.0,2.977
2026-01-24 00:00:00,26192.09,26062.37,129.73,0.495
2026-01-24 01:00:00,24701.68,24817.06,115.38,0.467
2026-01-24 02:00:00,23938.05,23919.46,18.6,0.078
2026-01-24 03:00:00,23562.54,23535.48,27.05,0.115
2026-01-24 04:00:00,23517.81,23894.4,376.59,1.601
2026-01-24 05:00:00,24358.52,25151.55,793.03,3.256
2026-01-24 06:00:00,26037.03,27195.61,1158.58,4.45
2026-01-24 07:00:00,28094.56,29294.85,1200.29,4.272
2026-01-24 08:00:00,30375.08,30745.0,369.92,1.218
2026-01-24 09:00:00,31803.67,31055.28,748.39,2.353
2026-01-24 10:00:00,32203.0,30857.44,1345.56,4.178
2026-01-24 11:00:00,32329.99,31053.74,1276.25,3.948
2026-01-24 12:00:00,32548.25,31466.7,1081.55,3.323
2026-01-24 13:00:00,32202.18,31504.92,697.26,2.165
2026-01-24 14:00:00,31356.0,31666.65,310.65,0.991
2026-01-24 15:00:00,31104.65,31838.72,734.07,2.36
2026-01-24 16:00:00,31352.59,32223.75,871.16,2.779
2026-01-24 17:00:00,32867.48,33230.55,363.08,1.105
2026-01-24 18:00:00,33825.8,34555.21,729.41,2.156
2026-01-24 19:00:00,34481.59,35089.89,608.3,1.764
2026-01-24 20:00:00,33988.91,34324.85,335.95,0.988
2026-01-24 21:00:00,31828.26,32416.1,587.85,1.847
2026-01-24 22:00:00,29388.75,29975.28,586.52,1.996
2026-01-24 23:00:00,26752.38,27275.45,523.07,1.955
2026-01-25 00:00:00,24566.04,25103.69,537.66,2.189
2026-01-25 01:00:00,23055.12,23332.77,277.65,1.204
2026-01-25 02:00:00,22260.96,21956.18,304.78,1.369
2026-01-25 03:00:00,21750.2,21138.46,611.73,2.813
2026-01-25 04:00:00,21854.87,21203.73,651.14,2.979
2026-01-25 05:00:00,22223.92,23040.28,816.35,3.673
2026-01-25 06:00:00,23185.95,26104.01,2918.05,12.585
2026-01-25 07:00:00,24220.19,28827.1,4606.91,19.021
2026-01-25 08:00:00,26370.12,29517.36,3147.25,11.935
2026-01-25 09:00:00,27883.5,29566.41,1682.91,6.036
2026-01-25 10:00:00,28546.79,29658.17,1111.38,3.893
2026-01-25 11:00:00,28823.28,30162.6,1339.32,4.647
2026-01-25 12:00:00,29488.1,30324.05,835.95,2.835
2026-01-25 13:00:00,29659.54,30402.21,742.68,2.504
2026-01-25 14:00:00,28670.24,30361.42,1691.19,5.899
2026-01-25 15:00:00,28483.79,30712.84,2229.05,7.826
2026-01-25 16:00:00,29102.39,31289.67,2187.28,7.516
2026-01-25 17:00:00,31201.38,32808.88,1607.49,5.152
2026-01-25 18:00:00,33012.2,34607.45,1595.25,4.832
2026-01-25 19:00:00,34043.81,35071.88,1028.07,3.02
2026-01-25 20:00:00,33626.86,33541.6,85.27,0.254
2026-01-25 21:00:00,31385.09,30913.32,471.77,1.503
2026-01-25 22:00:00,28329.04,28302.85,26.19,0.092
2026-01-25 23:00:00,25752.35,26000.89,248.54,0.965
2026-01-26 00:00:00,24035.48,24482.57,447.09,1.86
2026-01-26 01:00:00,22838.95,23569.54,730.59,3.199
2026-01-26 02:00:00,22343.39,22866.31,522.92,2.34
2026-01-26 03:00:00,22436.38,23084.69,648.31,2.89
2026-01-26 04:00:00,23384.79,24548.8,1164.01,4.978
2026-01-26 05:00:00,27284.27,27857.52,573.25,2.101
2026-01-26 06:00:00,32826.89,31846.69,980.2,2.986
2026-01-26 07:00:00,35784.65,34868.96,915.7,2.559
2026-01-26 08:00:00,36465.65,36145.25,320.4,0.879
2026-01-26 09:00:00,36631.11,35512.45,1118.66,3.054
2026-01-26 10:00:00,36349.78,35045.5,1304.28,3.588
2026-01-26 11:00:00,36352.51,35042.67,1309.84,3.603
